contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Mid
VIXW260325C00018000,2026-03-06 21:03:10+00:00,18.0,7.47,4.55,9.74,2.58,52.76074,25.0,1116,1.0000000000000003e-05,True,REGULAR,USD,7.145
VIXW260325C00019000,2026-03-06 21:00:37+00:00,19.0,6.63,3.82,8.03,2.97,81.14754,979.0,1265,1.0000000000000003e-05,True,REGULAR,USD,5.925
VIXW260325C00020000,2026-03-06 21:12:29+00:00,20.0,6.15,3.21,7.97,2.95,92.1875,223.0,1447,1.0000000000000003e-05,True,REGULAR,USD,5.59
VIXW260325C00021000,2026-03-06 20:36:23+00:00,21.0,5.0,2.7,7.38,2.24,81.15942,56.0,445,1.0000000000000003e-05,True,REGULAR,USD,5.04
VIXW260325C00022000,2026-03-06 20:57:08+00:00,22.0,4.6,2.31,5.1,2.23,94.092834,872.0,2486,1.0000000000000003e-05,True,REGULAR,USD,3.705
VIXW260325C00023000,2026-03-06 20:59:45+00:00,23.0,4.29,1.97,6.46,2.12,97.69585,338.0,1394,1.0000000000000003e-05,True,REGULAR,USD,4.215
VIXW260325C00024000,2026-03-06 21:12:27+00:00,24.0,3.93,1.69,5.97,2.06,110.16042,186.0,731,0.945313046875,True,REGULAR,USD,3.83
VIXW260325C00025000,2026-03-06 20:56:31+00:00,25.0,3.48,1.47,5.55,1.7,95.50562,4000.0,1998,1.140629296875,True,REGULAR,USD,3.51
VIXW260325C00026000,2026-03-06 21:09:43+00:00,26.0,3.55,1.29,5.15,1.9499999,121.874985,2337.0,332,1.2656286718749998,True,REGULAR,USD,3.22
VIXW260325C00027000,2026-03-06 21:14:45+00:00,27.0,3.1,1.15,4.78,1.5999999,106.66666,2300.0,621,0.5507857421875001,True,REGULAR,USD,2.965
VIXW260325C00028000,2026-03-06 21:10:01+00:00,28.0,3.0,1.05,4.45,1.66,123.88059,304.0,318,0.75195560546875,True,REGULAR,USD,2.75
VIXW260325C00029000,2026-03-06 20:55:27+00:00,29.0,2.53,0.98,4.16,1.56,160.82472,147.0,369,0.8955088574218748,True,REGULAR,USD,2.5700000000000003
VIXW260325C00030000,2026-03-06 21:09:52+00:00,30.0,2.65,2.58,3.91,1.5500001,140.9091,796.0,2014,1.3310580322265622,False,REGULAR,USD,3.245
VIXW260325C00031000,2026-03-06 21:05:28+00:00,31.0,2.41,0.86,3.71,1.3800001,133.98059,139.0,330,1.115238798828125,False,REGULAR,USD,2.285
VIXW260325C00032000,2026-03-06 20:58:40+00:00,32.0,2.26,0.8,3.53,1.2,113.20756,14.0,41,1.2041055419921873,False,REGULAR,USD,2.165
VIXW260325C00033000,2026-03-06 20:28:01+00:00,33.0,1.76,0.74,3.37,0.95,117.28395,48.0,63,1.2832067089843748,False,REGULAR,USD,2.055
VIXW260325C00034000,2026-03-06 20:44:32+00:00,34.0,1.69,0.68,3.23,0.69000006,69.00001,131.0,24,1.3554719726562499,False,REGULAR,USD,1.955
VIXW260325C00035000,2026-03-06 21:00:11+00:00,35.0,2.56,0.62,2.56,1.77,224.05064,965.0,1171,1.307620649414062,False,REGULAR,USD,1.59
VIXW260325C00036000,2026-03-06 21:07:19+00:00,36.0,1.79,0.57,2.98,1.06,145.20546,86.0,120,1.48047134765625,False,REGULAR,USD,1.775
VIXW260325C00037000,2026-03-06 20:29:04+00:00,37.0,1.33,0.52,2.86,0.81000006,155.76926,7.0,57,1.5341820166015623,False,REGULAR,USD,1.69
VIXW260325C00038000,2026-03-06 20:52:14+00:00,38.0,1.43,0.47,2.75,0.9499999,197.91664,58.0,16,1.5839864550781246,False,REGULAR,USD,1.6099999999999999
VIXW260325C00039000,2026-03-06 21:14:47+00:00,39.0,1.57,0.43,2.65,0.8600001,121.12677,111.0,21,1.6328143359374998,False,REGULAR,USD,1.54
VIXW260325C00040000,2026-03-06 21:00:02+00:00,40.0,1.73,0.39,2.54,1.12,183.60655,3372.0,2067,1.673829755859375,False,REGULAR,USD,1.465
VIXW260325C00042500,2026-03-06 20:32:09+00:00,42.5,1.02,0.32,2.32,0.53999996,112.499985,108.0,8,1.7763683056640622,False,REGULAR,USD,1.3199999999999998
VIXW260325C00045000,2026-03-06 20:56:02+00:00,45.0,1.06,0.25,2.12,0.53,100.0,18.0,37,1.861328818359375,False,REGULAR,USD,1.185
VIXW260325C00047500,2026-03-06 14:59:21+00:00,47.5,0.78,0.2,1.95,0.39999998,105.26315,4.0,8,1.9394534277343751,False,REGULAR,USD,1.075
VIXW260325C00050000,2026-03-06 21:02:03+00:00,50.0,0.94,0.14,1.82,0.53999996,134.99998,98.0,516,2.009770600585937,False,REGULAR,USD,0.98
VIXW260325C00055000,2026-03-06 20:08:00+00:00,55.0,0.53,0.09,1.57,0.18999997,55.88234,6.0,4060,2.1376999682617184,False,REGULAR,USD,0.8300000000000001
VIXW260325C00060000,2026-03-06 19:41:45+00:00,60.0,0.38,0.03,1.35,0.099999994,35.714283,4.0,195,2.2285200537109366,False,REGULAR,USD,0.6900000000000001
VIXW260325C00095000,2026-03-06 18:46:51+00:00,95.0,0.12,0.08,0.57,0.04,50.0,6.0,1,2.74219064453125,False,REGULAR,USD,0.32499999999999996
